,0
355,2013-06-06
356,2013-06-07
357,2013-06-10
358,2013-06-11
359,2013-06-12
360,2013-06-13
361,2013-06-14
362,2013-06-17
363,2013-06-18
364,2013-06-19
365,2013-06-20
366,2013-06-21
367,2013-06-24
368,2013-06-25
369,2013-06-26
370,2013-06-27
371,2013-06-28
372,2013-07-01
373,2013-07-02
374,2013-07-03
375,2013-07-05
376,2013-07-08
377,2013-07-09
378,2013-07-10
379,2013-07-11
380,2013-07-12
381,2013-07-15
382,2013-07-16
383,2013-07-17
384,2013-07-18
385,2013-07-19
386,2013-07-22
387,2013-07-23
388,2013-07-24
389,2013-07-25
390,2013-07-26
391,2013-07-29
392,2013-07-30
393,2013-07-31
394,2013-08-01
395,2013-08-02
396,2013-08-05
397,2013-08-06
398,2013-08-07
399,2013-08-08
400,2013-08-09
401,2013-08-12
402,2013-08-13
403,2013-08-14
404,2013-08-15
405,2013-08-16
406,2013-08-19
407,2013-08-20
408,2013-08-21
409,2013-08-22
410,2013-08-23
411,2013-08-26
412,2013-08-27
413,2013-08-28
414,2013-08-29
415,2013-08-30
416,2013-09-03
417,2013-09-04
418,2013-09-05
419,2013-09-06
420,2013-09-09
421,2013-09-10
422,2013-09-11
423,2013-09-12
424,2013-09-13
425,2013-09-16
426,2013-09-17
427,2013-09-18
428,2013-09-19
429,2013-09-20
430,2013-09-23
431,2013-09-24
432,2013-09-25
433,2013-09-26
434,2013-09-27
435,2013-09-30
436,2013-10-01
437,2013-10-02
438,2013-10-03
439,2013-10-04
440,2013-10-07
441,2013-10-08
442,2013-10-09
443,2013-10-10
444,2013-10-11
445,2013-10-14
446,2013-10-15
447,2013-10-16
448,2013-10-17
449,2013-10-18
450,2013-10-21
451,2013-10-22
452,2013-10-23
453,2013-10-24
454,2013-10-25
455,2013-10-28
456,2013-10-29
457,2013-10-30
458,2013-10-31
459,2013-11-01
460,2013-11-04
461,2013-11-05
462,2013-11-06
463,2013-11-07
464,2013-11-08
465,2013-11-11
466,2013-11-12
467,2013-11-13
468,2013-11-14
469,2013-11-15
470,2013-11-18
471,2013-11-19
472,2013-11-20
473,2013-11-21
474,2013-11-22
475,2013-11-25
476,2013-11-26
477,2013-11-27
478,2013-11-29
479,2013-12-02
480,2013-12-03
481,2013-12-04
482,2013-12-05
483,2013-12-06
484,2013-12-09
485,2013-12-10
486,2013-12-11
487,2013-12-12
488,2013-12-13
489,2013-12-16
490,2013-12-17
491,2013-12-18
492,2013-12-19
493,2013-12-20
494,2013-12-23
495,2013-12-24
496,2013-12-26
497,2013-12-27
498,2013-12-30
499,2013-12-31
