,Date,Returns
0,2012-01-04,1.0
1,2012-01-05,1.00168
2,2012-01-06,0.9987780528711765
3,2012-01-09,1.007196718296457
4,2012-01-10,0.9992854704383244
5,2012-01-11,1.0000166842778486
6,2012-01-12,0.9988082857508317
7,2012-01-13,0.999284118324105
8,2012-01-17,1.000477596353074
9,2012-01-18,1.000716052545527
10,2012-01-19,1.001311823665458
11,2012-01-20,1.001905607328966
12,2012-01-23,1.0057059486892563
13,2012-01-24,0.9966904142576952
14,2012-01-25,0.999525632075494
15,2012-01-26,1.0011864826405723
16,2012-01-27,0.9997629846864404
17,2012-01-30,0.9983404994780475
18,2012-01-31,1.0033245180833994
19,2012-02-01,0.9995266425306955
20,2012-02-02,0.9995264183572873
21,2012-02-03,1.0021321271284749
22,2012-02-06,1.0004727979631864
23,2012-02-07,1.0037805962472857
24,2012-02-08,1.001176986616093
25,2012-02-09,0.9997648794105682
26,2012-02-10,0.9988241205793793
27,2012-02-13,0.9967036615256866
28,2012-02-14,0.9974014540832999
29,2012-02-15,1.0014210814271765
30,2012-02-16,0.9998817445982903
31,2012-02-17,1.0004730775508144
32,2012-02-21,0.9995271461457287
33,2012-02-22,0.9997634612245928
34,2012-02-23,0.9990536210430515
35,2012-02-24,1.0014209131577347
36,2012-02-27,1.0009695796359899
37,2012-02-28,0.998582477372795
38,2012-02-29,1.0028390696999496
39,2012-03-01,0.9959893710468765
40,2012-03-02,0.9992893919642865
41,2012-03-05,1.0021333400757413
42,2012-03-06,0.9990538672780787
43,2012-03-07,1.0
44,2012-03-08,0.9992897284474016
45,2012-03-09,1.0007107763968532
46,2012-03-12,1.0002367571841992
47,2012-03-13,0.9997632988564968
48,2012-03-14,0.9978691853422048
49,2012-03-15,1.0005124875338198
50,2012-03-16,1.0011169351236968
51,2012-03-19,0.9997631233606163
52,2012-03-20,0.9997630672367798
53,2012-03-21,0.9988150554317069
54,2012-03-22,1.000474540131068
55,2012-03-23,0.9995256849504579
56,2012-03-26,1.000237270065534
57,2012-03-27,1.0
58,2012-03-28,1.000474427563609
59,2012-03-29,0.9985773922335099
60,2012-03-30,1.0009497563083605
61,2012-04-02,1.000593034454511
62,2012-04-03,0.99905170724306
63,2012-04-04,0.998813508912921
64,2012-04-05,1.0007127403122753
65,2012-04-09,1.0
66,2012-04-10,0.9994064727705535
67,2012-04-11,0.9978620330323816
68,2012-04-12,1.001071273831875
69,2012-04-13,1.00023780609608
70,2012-04-16,1.0002377495577857
71,2012-04-17,0.998336148675416
72,2012-04-18,0.9985714648516862
73,2012-04-19,0.9992847106098081
74,2012-04-20,1.0004772009302239
75,2012-04-23,0.9990460533637748
76,2012-04-24,1.0002387143798361
77,2012-04-25,0.9995226851822389
78,2012-04-26,0.9990449144880105
79,2012-04-27,0.9988384617345637
80,2012-04-30,1.000239277573151
81,2012-05-01,1.0
82,2012-05-02,0.9983254576683673
83,2012-05-03,1.0079075124563288
84,2012-05-04,1.0004754832891398
85,2012-05-07,1.0016634005928042
86,2012-05-08,0.9991696808569527
87,2012-05-09,1.0002374311845283
88,2012-05-10,0.9983383762296016
89,2012-05-11,1.0000784640697966
90,2012-05-14,1.002853015042522
91,2012-05-15,1.0014224492521473
92,2012-05-16,0.9976326187261437
93,2012-05-17,1.003322198694376
94,2012-05-18,1.0030746840762113
95,2012-05-21,1.0007073675473916
96,2012-05-22,1.000706867532239
97,2012-05-23,0.9977090123951924
98,2012-05-24,0.9971680391188197
99,2012-05-25,0.9997633330282959
100,2012-05-29,1.0007101689886562
101,2012-05-30,0.9994086124945196
102,2012-05-31,1.00189355984517
103,2012-06-01,1.0050399494745064
104,2012-06-04,0.9993731655297456
105,2012-06-05,0.9996863861809206
106,2012-06-06,1.001999915297705
107,2012-06-07,1.0003130860579648
108,2012-06-08,1.0031298806576505
109,2012-06-11,0.9950702181896468
110,2012-06-12,0.9987457708962408
111,2012-06-13,0.9981162937451533
112,2012-06-14,1.0015727177506362
113,2012-06-15,0.9993719007226283
114,2012-06-18,0.9993715059659796
115,2012-06-19,0.9993711107128146
116,2012-06-20,0.9993707149621958
117,2012-06-21,1.0034632470774918
118,2012-06-22,0.9959211975364033
119,2012-06-25,1.0007875975439557
120,2012-06-26,0.9999999999999999
121,2012-06-27,0.999842604455553
122,2012-06-28,0.9971664342093248
123,2012-06-29,0.9981055881990774
124,2012-07-02,1.0034796802490185
125,2012-07-05,1.000709284694267
126,2012-07-06,1.0001575071035704
127,2012-07-09,0.9995275531030313
128,2012-07-10,1.004726702085421
129,2012-07-11,1.001176116369658
130,2012-07-12,1.0007048408469368
131,2012-07-13,0.998356529742116
132,2012-07-18,0.9995296640860902
133,2012-07-19,1.0030586220201962
134,2012-07-20,1.0014073670976336
135,2012-07-23,1.0
136,2012-07-24,1.0002342315331858
137,2012-07-25,0.999063293273509
138,2012-07-26,0.9993343146722673
139,2012-07-27,1.00018764190419
140,2012-07-30,0.9983584413635256
141,2012-07-31,0.9988255301556876
142,2012-08-01,0.9989417342388952
143,2012-08-02,0.9971749683361035
144,2012-08-03,0.9997639137435255
145,2012-08-06,1.0004722840127138
146,2012-08-07,1.0002360305329097
147,2012-08-08,0.9964603774653472
148,2012-08-09,0.9988159346774842
149,2012-08-10,0.9992887186028536
150,2012-08-13,1.0011863127974678
151,2012-08-14,1.0001184907126979
152,2012-08-15,0.9997630466513753
153,2012-08-16,0.9983409334382496
154,2012-08-17,1.0007122101304768
155,2012-08-20,0.998813827919644
156,2012-08-21,0.9992874515467052
157,2012-08-22,1.00071305654063
